"Kernel Name","traffic","dpAI","spAI","dpPerf","spPerf","xtime","Block Size","Grid Size","device","intops","intPerf","intAI","targetName","exeArgs","kernelName"
"__omp_offloading_10309_2f08697_main_l83",1388888888.89,0.0,0.0,0.0,0.0,2304.0,"(256, 1, 1)","(4, 1, 1)","NVIDIA GeForce RTX 3080",24576.0,10666666666.666666,7.679999999993855,"ga-omp","1000000 1000 11 1","__omp_offloading_10309_2f08697_main_l83"
"__omp_offloading_10309_2f08697__Z2gaPKcS0_Pcjiiii_l18",27687891523.27,0.0,0.0,0.0,0.0,403552.0,"(256, 1, 1)","(4, 1, 1)","NVIDIA GeForce RTX 3080",99121011.0,245621409384.66418,8.871076700738813,"ga-omp","1000000 1000 11 1","__omp_offloading_10309_2f08697__Z2gaPKcS0_Pcjiiii_l18"
"__omp_offloading_10309_2f08697__Z2gaPKcS0_Pcjiiii_l18",18276351.03,0.0,0.0,0.0,0.0,406208.0,"(256, 1, 1)","(4, 1, 1)","NVIDIA GeForce RTX 3080",99119639.0,244012030782.2593,13351.244478819757,"ga-omp","1000000 1000 11 1","__omp_offloading_10309_2f08697__Z2gaPKcS0_Pcjiiii_l18"
"sneaky_snake(const unsigned int *, const unsigned int *, int *, int, int)",441479674796.75,0.0,0.0,0.0,0.0,7872.0,"(256, 1, 1)","(118, 1, 1)","NVIDIA GeForce RTX 3080",1317506.0,167366107723.57724,0.37910263434127484,"snake-cuda","100 ./Datasets/ERR240727_1_E2_30000Pairs.txt 30000 1000","sneaky_snake"
"sneaky_snake(const unsigned int *, const unsigned int *, int *, int, int)",425956331877.73,0.0,0.0,0.0,0.0,7328.0,"(256, 1, 1)","(118, 1, 1)","NVIDIA GeForce RTX 3080",1317506.0,179790665938.8646,0.4220870837775765,"snake-cuda","100 ./Datasets/ERR240727_1_E2_30000Pairs.txt 30000 1000","sneaky_snake"
"kernel_w_block(const unsigned char *, const unsigned char *, unsigned int *)",111836645242.86,0.0,0.0,0.0,0.0,3037120.0,"(16, 1, 1)","(1024, 1, 1)","NVIDIA GeForce RTX 3080",653426688.0,215146812769.99258,1.9237595360875528,"bitcracker-cuda","-f ./hash_pass/img_win8_user_hash.txt                       -d ./hash_pass/user_passwords_60000.txt                       -b 60000","kernel_w_block"
"noise_uniform(const uchar4 *, uchar4 *, int)",48466819221.97,0.0,2.707710018374806,0.0,131234091966.0888,27968.0,"(256, 1, 1)","(1024, 1, 1)","NVIDIA GeForce RTX 3080",58763010.0,2101080163043.4783,43.35089854815682,"urng-cuda","../urng-sycl/URNG_Input.bmp 16 16 1000","noise_uniform"
"noise_uniform(const uchar4 *, uchar4 *, int)",46919042189.28,0.0,2.7873487516802498,0.0,130779733676.32259,28064.0,"(256, 1, 1)","(1024, 1, 1)","NVIDIA GeForce RTX 3080",58763010.0,2093892887685.2908,44.62778415719025,"urng-cuda","../urng-sycl/URNG_Input.bmp 16 16 1000","noise_uniform"
"sortDevice(DeviceTensor<float, 1, int, DefaultPtrTraits>, DeviceTensor<float, 1, int, DefaultPtrTraits>)",18495726495.73,0.0,0.0,0.0,0.0,3744.0,"(32, 1, 1)","(1, 1, 1)","NVIDIA GeForce RTX 3080",1914.0,511217948.71794873,0.027639787430678683,"warpsort-cuda","1000","sortDevice"
"sortDevice(DeviceTensor<float, 1, int, DefaultPtrTraits>, DeviceTensor<float, 1, int, DefaultPtrTraits>)",17433333333.33,0.0,0.0,0.0,0.0,3840.0,"(32, 1, 1)","(1, 1, 1)","NVIDIA GeForce RTX 3080",1914.0,498437499.99999994,0.02859106118547391,"warpsort-cuda","1000","sortDevice"
"void conv1d_tiled_caching<double>(const T1 *, T1 *, int, int)",712161321485.82,0.3751475580603977,0.0,267165580700.4712,0.0,3014304.0,"(256, 1, 1)","(524288, 1, 1)","NVIDIA GeForce RTX 3080",6575620087.0,2181472103344.5862,3.0631712752853035,"convolution1D-cuda","134217728 1000","conv1d_tiled_caching"
"void conv1d_tiled_caching<double>(const T1 *, T1 *, int, int)",712539197347.16,0.37538698472935295,0.0,267477940793.62378,0.0,3010816.0,"(256, 1, 1)","(524288, 1, 1)","NVIDIA GeForce RTX 3080",6575620087.0,2183999316796.5093,3.0650935765045797,"convolution1D-cuda","134217728 1000","conv1d_tiled_caching"
"void conv1d<double>(const T1 *, T1 *, int, int)",707919997468.27,0.3750024556591431,0.0,265471737460.8156,0.0,3033504.0,"(256, 1, 1)","(524288, 1, 1)","NVIDIA GeForce RTX 3080",5234491388.0,1725559415118.6218,2.437506245465207,"convolution1D-cuda","134217728 1000","conv1d"
"void conv1d<double>(const T1 *, T1 *, int, int)",707715928876.69,0.3752267456520659,0.0,265553944838.5293,0.0,3032480.0,"(256, 1, 1)","(524288, 1, 1)","NVIDIA GeForce RTX 3080",5234491388.0,1726142097557.115,2.439032424064419,"convolution1D-cuda","134217728 1000","conv1d"
"void conv1d_tiled<double>(const T1 *, T1 *, int, int)",700279516462.41,0.3751453438316472,0.0,262706599981.55048,0.0,3065408.0,"(256, 1, 1)","(524288, 1, 1)","NVIDIA GeForce RTX 3080",4838129661.0,1578298765123.5984,2.25381255344532,"convolution1D-cuda","134217728 1000","conv1d_tiled"
"void conv1d_tiled<double>(const T1 *, T1 *, int, int)",699924035831.37,0.3753873081033573,0.0,262742599687.57578,0.0,3065024.0,"(256, 1, 1)","(524288, 1, 1)","NVIDIA GeForce RTX 3080",4838129661.0,1578496501495.5835,2.2552397412965606,"convolution1D-cuda","134217728 1000","conv1d_tiled"
"__omp_offloading_10309_2fc33e3__Z9hypterm_2PdS_S_S_S_PKdS1_S1_S1_S1_S1_S1_S1_dddiii_l59",685512189226.45,0.30507823223647307,0.0,209134846865.75998,0.0,15621664.0,"(256, 1, 1)","(3200, 1, 1)","NVIDIA GeForce RTX 3080",4772805760.0,305524799406.7725,0.44568835420933184,"hypterm-omp","100000","__omp_offloading_10309_2fc33e3__Z9hypterm_2PdS_S_S_S_PKdS1_S1_S1_S1_S1_S1_S1_dddiii_l59"
"__omp_offloading_10309_2fc33e3__Z9hypterm_2PdS_S_S_S_PKdS1_S1_S1_S1_S1_S1_S1_dddiii_l59",691777504339.25,0.3006672814107598,0.0,207994861570.8024,0.0,15707776.0,"(256, 1, 1)","(3200, 1, 1)","NVIDIA GeForce RTX 3080",4772805760.0,303849874100.5729,0.4392306372997696,"hypterm-omp","100000","__omp_offloading_10309_2fc33e3__Z9hypterm_2PdS_S_S_S_PKdS1_S1_S1_S1_S1_S1_S1_dddiii_l59"
"__omp_offloading_10309_2fc33e3__Z9hypterm_3PdS_S_S_S_PKdS1_S1_S1_S1_S1_S1_S1_dddiii_l89",699492553535.28,0.21150733815757558,0.0,147947808059.2925,0.0,22081888.0,"(256, 1, 1)","(3200, 1, 1)","NVIDIA GeForce RTX 3080",4826805760.0,218586642591.43057,0.312493165919608,"hypterm-omp","100000","__omp_offloading_10309_2fc33e3__Z9hypterm_3PdS_S_S_S_PKdS1_S1_S1_S1_S1_S1_S1_dddiii_l89"
"__omp_offloading_10309_2fc33e3__Z9hypterm_3PdS_S_S_S_PKdS1_S1_S1_S1_S1_S1_S1_dddiii_l89",700187511801.19,0.2117588377845623,0.0,148270893730.2845,0.0,22031680.0,"(256, 1, 1)","(3200, 1, 1)","NVIDIA GeForce RTX 3080",4826805760.0,219084779735.36288,0.3128944404789234,"hypterm-omp","100000","__omp_offloading_10309_2fc33e3__Z9hypterm_3PdS_S_S_S_PKdS1_S1_S1_S1_S1_S1_S1_dddiii_l89"
"__omp_offloading_10309_2fc33e3__Z9hypterm_1PdS_S_S_S_PKdS1_S1_S1_S1_S1_S1_S1_dddiii_l29",182912064753.26,1.2829363779069702,0.0,234664541830.0326,0.0,13346912.0,"(256, 1, 1)","(3200, 1, 1)","NVIDIA GeForce RTX 3080",1803625024.0,135134256073.61462,0.7387935632124898,"hypterm-omp","100000","__omp_offloading_10309_2fc33e3__Z9hypterm_1PdS_S_S_S_PKdS1_S1_S1_S1_S1_S1_S1_dddiii_l29"
"__omp_offloading_10309_2fc33e3__Z9hypterm_1PdS_S_S_S_PKdS1_S1_S1_S1_S1_S1_S1_dddiii_l29",182880757475.88,1.2828895094217831,0.0,234615805240.9158,0.0,13349600.0,"(256, 1, 1)","(3200, 1, 1)","NVIDIA GeForce RTX 3080",1803625024.0,135107046203.63156,0.738771252199405,"hypterm-omp","100000","__omp_offloading_10309_2fc33e3__Z9hypterm_1PdS_S_S_S_PKdS1_S1_S1_S1_S1_S1_S1_dddiii_l29"
"__omp_offloading_10309_2fc5568__Z17perplexity_searchIifEvPKT0_PS0_fifT_iRd_l41",96490400402.08,0.0,0.9769037337699691,0.0,94261832425.75128,9550400.0,"(256, 1, 1)","(40, 1, 1)","NVIDIA GeForce RTX 3080",138992419.0,14553570426.369576,0.15082920545177725,"perplexity-omp","10000 50 100","__omp_offloading_10309_2fc5568__Z17perplexity_searchIifEvPKT0_PS0_fifT_iRd_l41"
"__omp_offloading_10309_2fc5568__Z17perplexity_searchIifEvPKT0_PS0_fifT_iRd_l41",98858494210.44,0.0,0.9560631501369027,0.0,94514963392.62402,9526112.0,"(256, 1, 1)","(40, 1, 1)","NVIDIA GeForce RTX 3080",138992419.0,14590676553.03654,0.1475915314062682,"perplexity-omp","10000 50 100","__omp_offloading_10309_2fc5568__Z17perplexity_searchIifEvPKT0_PS0_fifT_iRd_l41"
"__omp_offloading_10309_2fc5771_main_l109",60081611525.5,0.0,0.0,0.0,0.0,291052224.0,"(128, 1, 1)","(1, 1, 1)","NVIDIA GeForce RTX 3080",2214917454.0,7610034458.970497,0.1266616235108911,"randomAccess-omp","10","__omp_offloading_10309_2fc5771_main_l109"
"__omp_offloading_10309_2fc5771_main_l109",59997384544.39,0.0,0.0,0.0,0.0,291192096.0,"(128, 1, 1)","(1, 1, 1)","NVIDIA GeForce RTX 3080",2214917454.0,7606379034.408956,0.12677851029958243,"randomAccess-omp","10","__omp_offloading_10309_2fc5771_main_l109"
"__omp_offloading_10309_2fc5771_main_l103",723013213576.3,0.0,0.0,0.0,0.0,741056.0,"(256, 1, 1)","(3200, 1, 1)","NVIDIA GeForce RTX 3080",1415839744.0,1910570515588.5654,2.6425112013349694,"randomAccess-omp","10","__omp_offloading_10309_2fc5771_main_l103"
"__omp_offloading_10309_2fc5771_main_l103",721486211651.15,0.0,0.0,0.0,0.0,742656.0,"(256, 1, 1)","(3200, 1, 1)","NVIDIA GeForce RTX 3080",1415839744.0,1906454326094.45,2.642398836329045,"randomAccess-omp","10","__omp_offloading_10309_2fc5771_main_l103"
"void matrix_mul<__half>(T1 *, T1 *, T1 *, int, int, int, T1, T1)",1767068273.09,0.0,0.0,0.0,0.0,31872.0,"(16, 16, 1)","(6, 5, 1)","NVIDIA GeForce RTX 3080",3670978.0,115178777610.44176,65.18071732963286,"blas-gemm-cuda","79 91 83 1000","matrix_mul"
"void matrix_mul<float>(T1 *, T1 *, T1 *, int, int, int, T1, T1)",7331619537.28,0.0,13.292212405089916,0.0,97453444162.83281,12448.0,"(16, 16, 1)","(6, 5, 1)","NVIDIA GeForce RTX 3080",2161745.0,173662034061.69666,23.686722037150954,"blas-gemm-cuda","79 91 83 1000","matrix_mul"
"__omp_offloading_10309_2f20ae3__ZL4initiiPKiS0_PiS1_S1_S1_S1_i_l133",1900000000.0,0.0,0.0,0.0,0.0,2560.0,"(256, 1, 1)","(48, 1, 1)","NVIDIA GeForce RTX 3080",439860.0,171820312500.0,90.43174342105263,"gc-omp","../mis-cuda/internet.egr 256 100","__omp_offloading_10309_2f20ae3__ZL4initiiPKiS0_PiS1_S1_S1_S1_i_l133"
"__omp_offloading_10309_2f20ae3__ZL4initiiPKiS0_PiS1_S1_S1_S1_i_l88",62107701215.98,0.0,0.0,0.0,0.0,55264.0,"(256, 1, 1)","(487, 1, 1)","NVIDIA GeForce RTX 3080",16883625.0,305508558917.19745,4.919012504661686,"gc-omp","../mis-cuda/internet.egr 256 100","__omp_offloading_10309_2f20ae3__ZL4initiiPKiS0_PiS1_S1_S1_S1_i_l88"
"__omp_offloading_10309_2fc53fe_main_l238",205062937062.94,0.0,0.0,0.0,0.0,18304.0,"(16, 1, 1)","(1023, 1, 1)","NVIDIA GeForce RTX 3080",6179943.0,337628004807.6923,1.646460397200222,"nw-omp","16384 10","__omp_offloading_10309_2fc53fe_main_l238"
"__omp_offloading_10309_2fc53fe_main_l238",171065486725.66,0.0,0.0,0.0,0.0,18080.0,"(16, 1, 1)","(1022, 1, 1)","NVIDIA GeForce RTX 3080",6173902.0,341476880530.97345,1.9961763595166597,"nw-omp","16384 10","__omp_offloading_10309_2fc53fe_main_l238"
"__omp_offloading_10309_2fc53fe_main_l169",2511627906.98,0.0,0.0,0.0,0.0,6880.0,"(16, 1, 1)","(1, 1, 1)","NVIDIA GeForce RTX 3080",6009.0,873401162.7906977,0.34774305555510476,"nw-omp","16384 10","__omp_offloading_10309_2fc53fe_main_l169"
"__omp_offloading_10309_2fc53fe_main_l169",2741784037.56,0.0,0.0,0.0,0.0,6816.0,"(16, 1, 1)","(2, 1, 1)","NVIDIA GeForce RTX 3080",12018.0,1763204225.3521125,0.6430864726024313,"nw-omp","16384 10","__omp_offloading_10309_2fc53fe_main_l169"
"__omp_offloading_10309_2f086e8__Z10ForwardSubPfS_S_ii_l192",598178586785.15,0.0,0.2512436524351917,0.0,150288572952.4224,223264.0,"(256, 1, 1)","(3200, 1, 1)","NVIDIA GeForce RTX 3080",724217818.0,3243773371434.714,5.422750735475243,"gaussian-omp","-q -t -s 4096","__omp_offloading_10309_2f086e8__Z10ForwardSubPfS_S_ii_l192"
"__omp_offloading_10309_2f086e8__Z10ForwardSubPfS_S_ii_l192",556421416234.89,0.0,0.25023404889350254,0.0,139235583875.5134,240864.0,"(256, 1, 1)","(3200, 1, 1)","NVIDIA GeForce RTX 3080",723815724.0,3005080559984.057,5.400727707999435,"gaussian-omp","-q -t -s 4096","__omp_offloading_10309_2f086e8__Z10ForwardSubPfS_S_ii_l192"
"__omp_offloading_10309_2f086e8__Z10ForwardSubPfS_S_ii_l186",86247933884.3,0.0,0.12256708959915041,0.0,10571158240.1386,3872.0,"(256, 1, 1)","(16, 1, 1)","NVIDIA GeForce RTX 3080",167925.0,43369059917.35537,0.5028417257569805,"gaussian-omp","-q -t -s 4096","__omp_offloading_10309_2f086e8__Z10ForwardSubPfS_S_ii_l186"
"__omp_offloading_10309_2f086e8__Z10ForwardSubPfS_S_ii_l186",62982456140.35,0.0,0.17821696552895694,0.0,11224542214.893799,3648.0,"(256, 1, 1)","(16, 1, 1)","NVIDIA GeForce RTX 3080",167914.0,46029057017.54386,0.730823467966584,"gaussian-omp","-q -t -s 4096","__omp_offloading_10309_2f086e8__Z10ForwardSubPfS_S_ii_l186"
"computeDistance(const float2 *, const float2 *, float *, int, int)",1511591321.4,0.0,2306.619596386234,0.0,3486666163668.6025,14340384.0,"(256, 1, 1)","(391, 1, 1)","NVIDIA GeForce RTX 3080",1876501685.0,130854354039.61287,86.56728322468712,"hausdorff-cuda","100000 100000 100","computeDistance"
"computeDistance(const float2 *, const float2 *, float *, int, int)",127745222.82,0.0,27263.053434317033,0.0,3482724835720.3955,14356576.0,"(256, 1, 1)","(391, 1, 1)","NVIDIA GeForce RTX 3080",1876502570.0,130706832186.17029,1023.1837191308779,"hausdorff-cuda","100000 100000 100","computeDistance"
"__omp_offloading_10309_2fc3650__Z9laplace3diiiiPKfPf_l36",330851612903.23,0.0,1.828487120419122,0.0,604957912963.449,49600.0,"(256, 1, 1)","(3200, 1, 1)","NVIDIA GeForce RTX 3080",212580838.0,4285903991935.4834,12.954157769782604,"laplace3d-omp","128 128 128 100 1","__omp_offloading_10309_2fc3650__Z9laplace3diiiiPKfPf_l36"
"__omp_offloading_10309_2fc3650__Z9laplace3diiiiPKfPf_l36",332850129198.97,0.0,1.819846583652978,0.0,605736170491.1979,49536.0,"(256, 1, 1)","(3200, 1, 1)","NVIDIA GeForce RTX 3080",212580838.0,4291441335594.315,12.89301387961605,"laplace3d-omp","128 128 128 100 1","__omp_offloading_10309_2fc3650__Z9laplace3diiiiPKfPf_l36"
"axhelm(int, int, const float *, const float *, const float *, const float *, float *)",710718914845.52,0.0,2.6465186649988937,0.0,1880930873706.428,254784.0,"(8, 8, 1)","(8000, 1, 1)","NVIDIA GeForce RTX 3080",31232000.0,122582265762.37125,0.17247643646717267,"axhelm-cuda","1 8000 100","axhelm"
"axhelm(int, int, const float *, const float *, const float *, const float *, float *)",709448154657.29,0.0,2.649931283030922,0.0,1879988858714.9124,254912.0,"(8, 8, 1)","(8000, 1, 1)","NVIDIA GeForce RTX 3080",31232000.0,122520713030.37909,0.17269861402284517,"axhelm-cuda","1 8000 100","axhelm"
"hotspot3d(const float *, const float *, float *, int, int, int, float, float, float, float, float, float, float, float)",657338997451.15,0.0,1.4611882689754019,0.0,960496031815.672,37664.0,"(64, 4, 1)","(8, 128, 1)","NVIDIA GeForce RTX 3080",50068992.0,1329359388275.276,2.022334584483658,"hotspot3D-cuda","512 8 5000 ../data/hotspot3D/power_512x8 ../data/hotspot3D/temp_512x8 output.out","hotspot3d"
"hotspot3d(const float *, const float *, float *, int, int, int, float, float, float, float, float, float, float, float)",655604729729.73,0.0,1.4563934130171021,0.0,954818409921.2362,37888.0,"(64, 4, 1)","(8, 128, 1)","NVIDIA GeForce RTX 3080",50068992.0,1321500000000.0,2.015696257323803,"hotspot3D-cuda","512 8 5000 ../data/hotspot3D/power_512x8 ../data/hotspot3D/temp_512x8 output.out","hotspot3d"
"void write_indices<long>(long *, TensorDims<T1>, int, T1)",680898626553.3,0.0,0.0,0.0,0.0,97856.0,"(256, 1, 1)","(10920, 1, 1)","NVIDIA GeForce RTX 3080",220842963.0,2256815759892.0864,3.314466606161417,"nonzero-cuda","2048 2048 100","write_indices"
"void write_indices<long>(long *, TensorDims<T1>, int, T1)",679331804782.18,0.0,0.0,0.0,0.0,97696.0,"(256, 1, 1)","(10929, 1, 1)","NVIDIA GeForce RTX 3080",221015350.0,2262276347035.7026,3.330149318948898,"nonzero-cuda","2048 2048 100","write_indices"
"__omp_offloading_10309_2fc5a19__Z7runTestIcLi256EEvlib_l57",76914028727.46,0.0,0.0,0.0,0.0,6973120.0,"(128, 1, 1)","(1048576, 1, 1)","NVIDIA GeForce RTX 3080",7682916352.0,1101790353815.7954,14.32495959508141,"scan-omp","268435456 100","__omp_offloading_10309_2fc5a19__Z7runTestIcLi256EEvlib_l57"
"__omp_offloading_10309_2fc5a19__Z7runTestIcLi256EEvlib_l57",77210039145.14,0.0,0.0,0.0,0.0,6973024.0,"(128, 1, 1)","(1048576, 1, 1)","NVIDIA GeForce RTX 3080",7682916352.0,1101805522539.432,14.270236548750477,"scan-omp","268435456 100","__omp_offloading_10309_2fc5a19__Z7runTestIcLi256EEvlib_l57"
"__omp_offloading_10309_2fc5a19__Z7runTestIiLi128EEvlib_l57",281383462895.18,0.0,0.0,0.0,0.0,7701856.0,"(64, 1, 1)","(2097152, 1, 1)","NVIDIA GeForce RTX 3080",7564427264.0,982156413207.4138,3.4904553490880996,"scan-omp","268435456 100","__omp_offloading_10309_2fc5a19__Z7runTestIiLi128EEvlib_l57"
"__omp_offloading_10309_2fc5a19__Z7runTestIiLi128EEvlib_l57",279090704370.48,0.0,0.0,0.0,0.0,7701856.0,"(64, 1, 1)","(2097152, 1, 1)","NVIDIA GeForce RTX 3080",7564427264.0,982156413207.4138,3.5191297948198472,"scan-omp","268435456 100","__omp_offloading_10309_2fc5a19__Z7runTestIiLi128EEvlib_l57"
"__omp_offloading_10309_2fc5a19__Z7runTestIiLi256EEvlib_l57",282133485367.42,0.0,0.0,0.0,0.0,7633376.0,"(128, 1, 1)","(1048576, 1, 1)","NVIDIA GeForce RTX 3080",8144289792.0,1066931563701.3032,3.781655205910236,"scan-omp","268435456 100","__omp_offloading_10309_2fc5a19__Z7runTestIiLi256EEvlib_l57"
"__omp_offloading_10309_2fc5a19__Z7runTestIiLi256EEvlib_l57",281590592969.88,0.0,0.0,0.0,0.0,7633440.0,"(128, 1, 1)","(1048576, 1, 1)","NVIDIA GeForce RTX 3080",8144289792.0,1066922618373.8916,3.7889142784255356,"scan-omp","268435456 100","__omp_offloading_10309_2fc5a19__Z7runTestIiLi256EEvlib_l57"
"__omp_offloading_10309_2fc5a19__Z7runTestIcLi128EEvlib_l118",89437225833.31,0.0,0.0,0.0,0.0,5996352.0,"(64, 1, 1)","(2097152, 1, 1)","NVIDIA GeForce RTX 3080",8713666560.0,1453161282059.492,16.247834931372353,"scan-omp","268435456 100","__omp_offloading_10309_2fc5a19__Z7runTestIcLi128EEvlib_l118"
"__omp_offloading_10309_2fc5a19__Z7runTestIcLi128EEvlib_l118",89705796026.41,0.0,0.0,0.0,0.0,5996384.0,"(64, 1, 1)","(2097152, 1, 1)","NVIDIA GeForce RTX 3080",8713666560.0,1453153527192.388,16.199104088709827,"scan-omp","268435456 100","__omp_offloading_10309_2fc5a19__Z7runTestIcLi128EEvlib_l118"
"__omp_offloading_10309_2fc5a19__Z7runTestIlLi128EEvlib_l118",632624640462.46,0.0,0.0,0.0,0.0,6819872.0,"(64, 1, 1)","(2097152, 1, 1)","NVIDIA GeForce RTX 3080",9514778624.0,1395155015226.0923,2.205344095048541,"scan-omp","268435456 100","__omp_offloading_10309_2fc5a19__Z7runTestIlLi128EEvlib_l118"
"__omp_offloading_10309_2fc5a19__Z7runTestIlLi128EEvlib_l118",630056812367.09,0.0,0.0,0.0,0.0,6816544.0,"(64, 1, 1)","(2097152, 1, 1)","NVIDIA GeForce RTX 3080",9514778624.0,1395836163310.9092,2.2154131753084725,"scan-omp","268435456 100","__omp_offloading_10309_2fc5a19__Z7runTestIlLi128EEvlib_l118"
"__omp_offloading_10309_2fc5a19__Z7runTestIsLi128EEvlib_l57",160377739701.91,0.0,0.0,0.0,0.0,6816800.0,"(64, 1, 1)","(2097152, 1, 1)","NVIDIA GeForce RTX 3080",7430209536.0,1089984968900.3638,6.79636071019763,"scan-omp","268435456 100","__omp_offloading_10309_2fc5a19__Z7runTestIsLi128EEvlib_l57"
"__omp_offloading_10309_2fc5a19__Z7runTestIsLi128EEvlib_l57",157430100460.05,0.0,0.0,0.0,0.0,6816640.0,"(64, 1, 1)","(2097152, 1, 1)","NVIDIA GeForce RTX 3080",7430209536.0,1090010552999.7183,6.923774740754378,"scan-omp","268435456 100","__omp_offloading_10309_2fc5a19__Z7runTestIsLi128EEvlib_l57"
"__omp_offloading_10309_2fc5a19__Z7runTestIiLi256EEvlib_l118",400694445273.91,0.0,0.0,0.0,0.0,5358176.0,"(128, 1, 1)","(1048576, 1, 1)","NVIDIA GeForce RTX 3080",9926868992.0,1852658253853.55,4.623618509578027,"scan-omp","268435456 100","__omp_offloading_10309_2fc5a19__Z7runTestIiLi256EEvlib_l118"
"__omp_offloading_10309_2fc5a19__Z7runTestIiLi256EEvlib_l118",400722714269.5,0.0,0.0,0.0,0.0,5358112.0,"(128, 1, 1)","(1048576, 1, 1)","NVIDIA GeForce RTX 3080",9926868992.0,1852680382940.8567,4.623347559217381,"scan-omp","268435456 100","__omp_offloading_10309_2fc5a19__Z7runTestIiLi256EEvlib_l118"
"__omp_offloading_10309_2fc5a19__Z7runTestIsLi512EEvlib_l57",160233267661.13,0.0,0.0,0.0,0.0,6821760.0,"(256, 1, 1)","(524288, 1, 1)","NVIDIA GeForce RTX 3080",8568438784.0,1256045182474.9038,7.83885394593123,"scan-omp","268435456 100","__omp_offloading_10309_2fc5a19__Z7runTestIsLi512EEvlib_l57"
"__omp_offloading_10309_2fc5a19__Z7runTestIsLi512EEvlib_l57",160270834701.52,0.0,0.0,0.0,0.0,6821696.0,"(256, 1, 1)","(524288, 1, 1)","NVIDIA GeForce RTX 3080",8568438784.0,1256056966478.7173,7.8370900658122356,"scan-omp","268435456 100","__omp_offloading_10309_2fc5a19__Z7runTestIsLi512EEvlib_l57"
"__omp_offloading_10309_2fc5a19__Z7runTestIcLi128EEvlib_l57",77048432891.87,0.0,0.0,0.0,0.0,6987648.0,"(64, 1, 1)","(2097152, 1, 1)","NVIDIA GeForce RTX 3080",7178551296.0,1027320107710.062,13.333432870098815,"scan-omp","268435456 100","__omp_offloading_10309_2fc5a19__Z7runTestIcLi128EEvlib_l57"
"__omp_offloading_10309_2fc5a19__Z7runTestIcLi128EEvlib_l57",76804073950.26,0.0,0.0,0.0,0.0,6987616.0,"(64, 1, 1)","(2097152, 1, 1)","NVIDIA GeForce RTX 3080",7178551296.0,1027324812353.7412,13.375915618995151,"scan-omp","268435456 100","__omp_offloading_10309_2fc5a19__Z7runTestIcLi128EEvlib_l57"
"__omp_offloading_10309_2fc5a19__Z7runTestIlLi128EEvlib_l57",424921884305.96,0.0,0.0,0.0,0.0,10154784.0,"(64, 1, 1)","(2097152, 1, 1)","NVIDIA GeForce RTX 3080",8633974784.0,850237167427.6873,2.0009258144385993,"scan-omp","268435456 100","__omp_offloading_10309_2fc5a19__Z7runTestIlLi128EEvlib_l57"
"__omp_offloading_10309_2fc5a19__Z7runTestIlLi128EEvlib_l57",424891769762.59,0.0,0.0,0.0,0.0,10154944.0,"(64, 1, 1)","(2097152, 1, 1)","NVIDIA GeForce RTX 3080",8633974784.0,850223771199.526,2.0010361030871273,"scan-omp","268435456 100","__omp_offloading_10309_2fc5a19__Z7runTestIlLi128EEvlib_l57"
"__omp_offloading_10309_2fc5a19__Z7runTestIsLi256EEvlib_l57",161763220342.25,0.0,0.0,0.0,0.0,6634624.0,"(128, 1, 1)","(1048576, 1, 1)","NVIDIA GeForce RTX 3080",8010072064.0,1207313641888.3723,7.4634619620826195,"scan-omp","268435456 100","__omp_offloading_10309_2fc5a19__Z7runTestIsLi256EEvlib_l57"
"__omp_offloading_10309_2fc5a19__Z7runTestIsLi256EEvlib_l57",162111647020.24,0.0,0.0,0.0,0.0,6634624.0,"(128, 1, 1)","(1048576, 1, 1)","NVIDIA GeForce RTX 3080",8010072064.0,1207313641888.3723,7.447420737990754,"scan-omp","268435456 100","__omp_offloading_10309_2fc5a19__Z7runTestIsLi256EEvlib_l57"
"__omp_offloading_10309_2fc5a19__Z7runTestIsLi256EEvlib_l118",246542448115.7,0.0,0.0,0.0,0.0,4354304.0,"(128, 1, 1)","(1048576, 1, 1)","NVIDIA GeForce RTX 3080",10996416512.0,2525413134223.058,10.243319775253898,"scan-omp","268435456 100","__omp_offloading_10309_2fc5a19__Z7runTestIsLi256EEvlib_l118"
"__omp_offloading_10309_2fc5a19__Z7runTestIsLi256EEvlib_l118",246552178258.57,0.0,0.0,0.0,0.0,4354304.0,"(128, 1, 1)","(1048576, 1, 1)","NVIDIA GeForce RTX 3080",10996416512.0,2525413134223.058,10.242915524252831,"scan-omp","268435456 100","__omp_offloading_10309_2fc5a19__Z7runTestIsLi256EEvlib_l118"
"__omp_offloading_10309_2fc5a19__Z7runTestIsLi128EEvlib_l118",197473308602.72,0.0,0.0,0.0,0.0,5434560.0,"(64, 1, 1)","(2097152, 1, 1)","NVIDIA GeForce RTX 3080",10450108416.0,1922898710475.181,9.737511991272196,"scan-omp","268435456 100","__omp_offloading_10309_2fc5a19__Z7runTestIsLi128EEvlib_l118"
"__omp_offloading_10309_2fc5a19__Z7runTestIsLi128EEvlib_l118",197512153186.68,0.0,0.0,0.0,0.0,5434624.0,"(64, 1, 1)","(2097152, 1, 1)","NVIDIA GeForce RTX 3080",10450108416.0,1922876065759.1028,9.735482271522214,"scan-omp","268435456 100","__omp_offloading_10309_2fc5a19__Z7runTestIsLi128EEvlib_l118"
